Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),search
BTC,11/10/20,15374.04439,15327.58839,15448.41275,15092.3898,20
BTC,11/11/20,15820.49524,15316.74901,15973.07608,15294.29332,20
BTC,11/12/20,16253.31027,15701.8651,16348.4628,15474.76108,20
BTC,11/13/20,16347.04492,16302.8428,16487.48815,15971.1428,20
BTC,11/14/20,15991.83302,16329.79889,16333.51314,15718.88879,20
BTC,11/15/20,15918.08013,16078.97001,16167.39692,15792.77908,27
BTC,11/16/20,16752.00299,15969.51601,16885.58019,15881.70385,27
BTC,11/17/20,17593.48641,16718.59966,17831.23118,16560.99963,27
BTC,11/18/20,17834.63653,17672.65284,18358.97625,17283.49485,27
BTC,11/19/20,17954.85801,17786.21258,18170.83027,17381.23626,27
BTC,11/20/20,18612.87067,17823.3433,18813.40769,17762.92882,27
BTC,11/21/20,18591.8566,18666.58022,18964.64351,18368.28996,27
BTC,11/22/20,18629.99554,18683.8472,18732.99132,17806.2676,30
BTC,11/23/20,18469.20047,18405.5557,18752.16004,17990.11089,30
BTC,11/24/20,19045.73647,18370.21961,19392.90868,18059.26543,30
BTC,11/25/20,18746.93481,19136.08297,19391.46366,18640.64218,30
BTC,11/26/20,17187.40628,18719.20716,18908.63553,16242.70294,30
BTC,11/27/20,17023.9614,17180.71873,17482.2001,16489.30267,30
BTC,11/28/20,17814.78028,17159.1095,17901.38262,16906.1761,30
BTC,11/29/20,18114.41435,17742.82304,18356.31323,17545.19622,26
BTC,11/30/20,19382.36059,18201.27725,19850.11449,18201.27725,26
BTC,12/1/20,18980.97745,19677.98984,19920.53426,18171.75051,26
BTC,12/2/20,19184.89785,18796.74864,19357.16459,18360.23172,26
BTC,12/3/20,19464.5317,19220.59015,19607.85534,18899.48869,26
BTC,12/4/20,18813.12476,19441.5588,19539.86235,18717.12493,26
BTC,12/5/20,19045.02027,18668.15855,19200.79191,18518.85142,26
BTC,12/6/20,19113.9334,19162.26446,19347.62491,18927.29956,20
BTC,12/7/20,19107.5998,19373.44523,19433.09749,18931.5713,20
BTC,12/8/20,18682.45783,19177.92617,19299.04708,18630.74248,20
BTC,12/9/20,18543.00705,18320.23313,18618.96013,17640.56207,20
BTC,12/10/20,18359.4766,18557.45291,18565.21617,17904.06899,20
BTC,12/11/20,18137.31937,18255.77375,18293.55273,17593.1721,20
BTC,12/12/20,18882.26017,18040.17062,18956.34444,18029.14317,20
BTC,12/13/20,19060.2769,18822.50994,19408.67465,18726.84709,35
BTC,12/14/20,19251.224,19161.13847,19323.16531,19015.68597,35
BTC,12/15/20,19443.47635,19264.6703,19552.37198,19053.34247,35
BTC,12/16/20,21310.65626,19433.14137,21447.52385,19293.29896,35
BTC,12/17/20,22895.97624,21351.25481,23770.84657,21248.36533,35
BTC,12/18/20,23008.77626,22819.5589,23261.25288,22357.60765,35
BTC,12/19/20,23890.82265,23126.60677,24122.67327,22781.87678,35
BTC,12/20/20,23537.36989,23829.2848,24273.0415,23085.95477,35
BTC,12/21/20,23177.271,23476.0875,24081.05309,21960.19135,35
BTC,12/22/20,23433.98076,22729.65929,23629.40446,22384.12785,35
BTC,12/23/20,23224.45414,23791.56529,24086.95066,22644.56106,35
BTC,12/24/20,23623.88553,23228.90909,23737.75715,22716.17417,35
BTC,12/25/20,24581.00617,23726.191,24627.29791,23422.31033,35
BTC,12/26/20,26381.29623,24708.20678,26750.87995,24497.41087,35
BTC,12/27/20,26389.29026,26447.70807,28352.62782,25759.06861,52
BTC,12/28/20,26718.02946,26226.06613,27447.55138,26046.62558,52
BTC,12/29/20,26975.72956,27038.73568,27169.22556,25875.04979,52
BTC,12/30/20,28768.83621,27349.32723,28928.21439,27349.2832,52
BTC,12/31/20,29111.52157,28872.82977,29280.04533,27916.62506,52
BTC,1/1/21,29333.60512,28935.81098,29601.5949,28753.41231,52
BTC,1/2/21,32154.16736,29353.64061,33064.67353,29012.92789,52
BTC,1/3/21,33002.53643,32074.10661,34452.08034,31885.58162,84
BTC,1/4/21,31431.61228,32788.58345,33358.39935,28154.1103,84
BTC,1/5/21,34433.60651,31991.92686,34435.41748,29948.65363,84
BTC,1/6/21,36275.75635,34001.34476,36461.69177,33351.02812,84
BTC,1/7/21,39713.50786,36806.41976,40324.01403,36356.43076,84
BTC,1/8/21,40519.4486,39420.8007,41962.36213,36741.33018,84
BTC,1/9/21,40258.92399,40558.10212,41375.43068,38766.27616,84
BTC,1/10/21,38709.76537,40096.3332,41186.52343,34897.55047,81
BTC,1/11/21,34409.64238,38132.53579,38204.75441,30305.30005,81
BTC,1/12/21,34214.61026,35432.85914,36566.90906,32538.94117,81
BTC,1/13/21,37017.0075,34070.32562,37798.8601,32470.58526,81
BTC,1/14/21,38435.86351,37373.16196,40066.31976,36770.79512,81
BTC,1/15/21,36751.58497,39127.67852,39673.0723,34425.48794,81
BTC,1/16/21,36016.77961,36752.77118,37943.51217,35398.86752,81
BTC,1/17/21,36375.81138,36016.75309,36840.13285,33870.13838,52
BTC,1/18/21,36346.6095,35847.83342,37440.40401,34816.28925,52
BTC,1/19/21,36577.51965,36639.98591,37876.15893,36136.53557,52
BTC,1/20/21,35004.53263,35909.43225,36409.7086,33430.82199,52
BTC,1/21/21,30606.18268,35491.42392,35612.7372,30077.27896,52
BTC,1/22/21,33368.36593,30844.83315,33873.77299,28845.31148,52
BTC,1/23/21,32070.09743,33000.44664,33501.24845,31451.2963,52
BTC,1/24/21,32285.72613,32107.39182,33088.54855,30987.70386,49
BTC,1/25/21,32500.25596,32297.50417,34893.98402,31949.28237,49
BTC,1/26/21,32324.55565,32270.82562,32770.80461,31062.54953,49
BTC,1/27/21,30534.99937,32497.84846,32570.2815,29452.78559,49
BTC,1/28/21,33408.21834,30426.0844,33481.48542,29921.96008,49
BTC,1/29/21,34842.55739,33424.59559,38468.07829,31984.00892,49
BTC,1/30/21,34622.37323,34265.37666,34920.29115,32945.36998,49
BTC,1/31/21,33087.36986,34304.23451,34373.73401,32229.54518,43
BTC,2/1/21,33613.32076,33138.77651,34715.65573,32341.98991,43
BTC,2/2/21,35632.90195,33525.28825,36008.31082,33437.74691,43
BTC,2/3/21,37397.42636,35519.70777,37505.30371,35416.73178,43
BTC,2/4/21,37256.25211,37645.94564,38731.08795,36207.49431,43
BTC,2/5/21,37851.59659,36970.81227,38332.41692,36637.64562,43
BTC,2/6/21,40302.79979,38305.27539,40999.04684,38233.72667,43
BTC,2/7/21,38461.6814,39253.22773,39698.0659,37388.34169,77
BTC,2/8/21,44716.68547,38853.29945,44981.86,38036.28325,77
BTC,2/9/21,46674.85169,46433.48964,48226.25089,45058.069,77
BTC,2/10/21,45237.47569,46512.99056,47374.35591,43886.27604,77
BTC,2/11/21,47500.89752,44859.84767,48600.63193,44070.72706,77
BTC,2/12/21,47884.18286,47992.62291,48925.53448,46550.14795,77
BTC,2/13/21,47005.19065,47405.55715,48189.77799,46333.57366,77
BTC,2/14/21,49151.16758,47231.13334,49716.43638,47105.17175,72
BTC,2/15/21,48125.9922,48654.83072,49037.91611,45926.25155,72
BTC,2/16/21,48840.41447,47944.48497,50584.84895,47088.83608,72
BTC,2/17/21,52165.30256,49186.33387,52621.83507,48990.89519,72
BTC,2/18/21,51728.5088,52146.00339,52532.29712,50971.74318,72
BTC,2/19/21,55719.20436,51598.14371,56283.54984,50821.47282,72
BTC,2/20/21,54801.64864,55917.03918,57487.02831,54039.67392,72
BTC,2/21/21,57128.64261,55913.35145,58332.36462,55531.5507,80
BTC,2/22/21,54181.91465,57453.35801,57535.86348,47780.74958,80
BTC,2/23/21,48172.87748,54124.53909,54180.23218,45047.78286,80
BTC,2/24/21,48745.43298,48923.03508,51413.61356,47032.52426,80
BTC,2/25/21,48291.41208,49746.65163,52076.31772,47501.6748,80
BTC,2/26/21,45752.11492,47135.55173,48453.73863,44279.44954,80
BTC,2/27/21,46642.60608,46326.82407,48353.001,46207.70578,80
BTC,2/28/21,45092.80657,46204.05856,46675.19785,43119.15702,51
BTC,3/1/21,49248.91401,45234.36876,49520.72499,45044.38376,51
BTC,3/2/21,47900.77688,49636.02146,50211.43717,47200.04217,51
BTC,3/3/21,50811.85517,48526.99036,52636.22299,48195.1231,51
BTC,3/4/21,48259.48708,50433.43615,51781.96783,47578.30723,51
BTC,3/5/21,49149.73083,48404.21363,49462.13301,46393.39146,51
BTC,3/6/21,48879.1519,48791.79051,49173.76187,47127.04097,51
BTC,3/7/21,50594.69857,48887.56641,51222.8723,48887.56641,53
BTC,3/8/21,51503.25813,50948.88071,51916.41395,49390.18272,53
BTC,3/9/21,54458.03781,52360.74816,54804.07845,51865.59003,53
BTC,3/10/21,56915.17394,54924.68653,57336.74541,53101.23637,53
BTC,3/11/21,57636.75796,55898.86482,58034.70396,54323.6085,53
BTC,3/12/21,57306.16626,57817.27021,58077.9516,55116.25835,53
BTC,3/13/21,60743.04182,57227.23345,61556.59449,56124.14999,53
BTC,3/14/21,60197.90199,60972.49128,61453.05834,59275.70383,51
BTC,3/15/21,56300.33411,58962.48846,60570.69365,54790.32931,51
